Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,258,0,1,0
2,258,0,1,0
2,258,0,1,0
2,258,0,1,0
2,258,0,1,0
2,258,0,1,0
2,171.667,0,1,0
2,128.5,0,1,0
2,128.5,0,1,0
2,128.5,0,1,0
2,128.5,0,1,0
2,50.8,0,1,0
2,50.8,0,1,0
2,23.6667,0,1,0
2,23.6667,0,1,0
2,20.5833,0,1,0
2,20.5833,0,1,0
2,20.5833,0,1,0
4,20.5833,0,1,0
2,18.9231,0,1,0
2,18.9231,0,1,0
3,18.9231,0,1,0
2,12.2821,0,1,0
2,12.2821,0,1,0
2,12.2821,0,1,0
2,12.2821,0,1,0
2,12.2821,0,1,0
2,12.2821,0,1,0
2,12.2821,0,1,0
2,12.2821,0,1,0
2,12.2821,0,1,0
2,12.2821,0,1,0
4,12.2821,0,1,0
2,11.6341,0,1,0
2,11.6341,0,1,0
4,11.6341,0,1,0
2,11.3333,0,1,0
2,11.3333,0,1,0
2,11.3333,0,1,0
2,11.3333,0,1,0
2,9.79167,0,1,0
2,9.79167,0,1,0
3,9.79167,0,1,0
2,9.79167,0,1,0
2,9.79167,0,1,0
2,9.79167,0,1,0
3,8.96154,0,1,0
2,5.64103,0,1,0
2,5.64103,0,1,0
2,5.64103,0,1,0
2,5.64103,0,1,0
2,5.64103,0,1,0
2,5.64103,0,1,0
2,5.64103,0,1,0
2,5.64103,0,1,0
2,5.64103,0,1,0
2,5.64103,0,1,0
2,5.64103,0,1,0
3,5.64103,0,1,0
39,5.64103,0,1,0
3,5.64103,0,1,0
3,5.64103,0,1,0
2,5.64103,0,1,0
2,5.64103,0,1,0
21,5.64103,0,1,0
2,5.64103,0,1,0
3,5.64103,0,1,0
2,5.31707,0,1,0
3,5.31707,0,1,0
2,5.31707,0,1,0
24,5.31707,0,1,0
14,5.29514,0,1,0
12,5.13018,0,1,0
22,5.08761,0,1,0
12,4.83114,0,1,0
10,4.10848,0,1,0
3,2.98462,0,1,0
2,0.660256,0,1,0
3,0.514071,0,1,0
2,0.446581,0,1,0
