Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,257,0,1,0
2,128,0,1,0
2,85,0,1,0
2,85,0,1,0
2,85,0,1,0
2,85,0,1,0
2,85,0,1,0
2,63.5,0,1,0
2,63.5,0,1,0
2,63.5,0,1,0
2,63.5,0,1,0
2,63.5,0,1,0
2,63.5,0,1,0
3,42,0,1,0
3,42,0,1,0
2,35.8571,0,1,0
2,31.25,0,1,0
2,31.25,0,1,0
2,31.25,0,1,0
2,31.25,0,1,0
3,31.25,0,1,0
3,31.25,0,1,0
2,31.25,0,1,0
3,31.25,0,1,0
3,31.25,0,1,0
2,27.6667,0,1,0
2,27.6667,0,1,0
3,24.8,0,1,0
3,24.8,0,1,0
3,24.8,0,1,0
3,24.8,0,1,0
3,24.8,0,1,0
3,24.8,0,1,0
3,23.1875,0,1,0
3,23.1875,0,1,0
2,20.5,0,1,0
2,20.5,0,1,0
3,18.35,0,1,0
3,18.35,0,1,0
3,18.35,0,1,0
3,18.35,0,1,0
2,17.4286,0,1,0
3,17.4286,0,1,0
3,17.4286,0,1,0
3,15.125,0,1,0
3,15.125,0,1,0
3,15.125,0,1,0
3,15.125,0,1,0
4,15.125,0,1,0
4,13.7429,0,1,0
3,12.8214,0,1,0
3,12.8214,0,1,0
2,11.9,0,1,0
3,11.0938,0,1,0
3,11.0938,0,1,0
2,9.75,0,1,0
7,9.75,0,1,0
2,9.75,0,1,0
4,9.75,0,1,0
3,8.675,0,1,0
2,8.21429,0,1,0
2,8.21429,0,1,0
2,8.21429,0,1,0
4,8.21429,0,1,0
2,8.21429,0,1,0
4,7.6,0,1,0
2,7.0625,0,1,0
2,7.0625,0,1,0
2,7.0625,0,1,0
2,7.0625,0,1,0
2,7.0625,0,1,0
2,6.37143,0,1,0
2,6.37143,0,1,0
2,6.37143,0,1,0
2,6.37143,0,1,0
2,6.37143,0,1,0
2,6.16667,0,1,0
2,6.16667,0,1,0
2,5.45,0,1,0
2,5.45,0,1,0
2,5.45,0,1,0
2,5.45,0,1,0
2,5.45,0,1,0
2,5.45,0,1,0
2,3.60714,0,1,0
