Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,1239,0,1,0
2,309,0,1,0
2,176.143,0,1,0
3,176.143,0,1,0
2,136.778,0,1,0
2,136.778,0,1,0
2,136.778,0,1,0
4,117.095,0,1,0
5,113.815,0,1,0
4,90.8518,0,1,0
4,87.5714,0,1,0
13,62.9683,0,1,0
2,58.0476,0,1,0
2,49.6122,0,1,0
2,44.9259,0,1,0
4,35.4706,0,1,0
2,30,0,1,0
3,30,0,1,0
4,30,0,1,0
2,29.6173,0,1,0
15,24.8333,0,1,0
13,23.3137,0,1,0
2,21.963,0,1,0
2,19.6667,0,1,0
2,16.2222,0,1,0
3,15.8326,0,1,0
2,15.5333,0,1,0
4,15.5333,0,1,0
3,15.5333,0,1,0
2,15.3158,0,1,0
3,15.3158,0,1,0
4,15.3158,0,1,0
4,15.2623,0,1,0
16,14.5608,0,1,0
16,14.356,0,1,0
8,13.9623,0,1,0
18,13.88,0,1,0
18,13.6842,0,1,0
2,13.2529,0,1,0
2,13.2529,0,1,0
2,13.2529,0,1,0
2,13.2529,0,1,0
4,12.7778,0,1,0
2,11.7835,0,1,0
2,11.7835,0,1,0
2,11.7835,0,1,0
2,11.6531,0,1,0
4,11.6531,0,1,0
7,11.6531,0,1,0
13,11.6431,0,1,0
13,11.4768,0,1,0
59,11.2382,0,1,0
8,10.0222,0,1,0
8,9.87719,0,1,0
5,9.54422,0,1,0
4,9.2268,0,1,0
4,9.2268,0,1,0
22,7.61111,0,1,0
6,7.61111,0,1,0
3,7.61111,0,1,0
4,7.61111,0,1,0
14,7.61111,0,1,0
3,7.61111,0,1,0
2,7.61111,0,1,0
21,7.61111,0,1,0
7,7.61111,0,1,0
2,7.55172,0,1,0
21,7.55172,0,1,0
4,7.55172,0,1,0
7,7.55172,0,1,0
3,7.55172,0,1,0
14,7.55172,0,1,0
6,7.55172,0,1,0
2,7.55172,0,1,0
2,7.55172,0,1,0
2,7.55172,0,1,0
4,7.52234,0,1,0
2,7.52234,0,1,0
2,7.43537,0,1,0
59,7.32878,0,1,0
59,7.27134,0,1,0
2,7.26667,0,1,0
2,7.15789,0,1,0
16,7.10458,0,1,0
16,7.04868,0,1,0
3,6.73389,0,1,0
2,6.65432,0,1,0
2,6.51515,0,1,0
2,6.51515,0,1,0
2,6.51515,0,1,0
39,6.51515,0,1,0
2,6.51515,0,1,0
2,6.51515,0,1,0
14,6.51515,0,1,0
4,6.46988,0,1,0
2,6.46988,0,1,0
61,6.46988,0,1,0
4,6.46988,0,1,0
2,6.46988,0,1,0
7,6.46988,0,1,0
2,6.46988,0,1,0
14,6.46988,0,1,0
21,6.46988,0,1,0
75,6.37159,0,1,0
98,6.1999,0,1,0
2,6.12644,0,1,0
2,6.12644,0,1,0
22,6.12644,0,1,0
9,6.12644,0,1,0
165,6.12644,0,1,0
4,6.12644,0,1,0
35,6.10893,0,1,0
17,6.09764,0,1,0
35,6.0661,0,1,0
17,6.05489,0,1,0
74,6.03142,0,1,0
39,5.94828,0,1,0
2,5.88889,0,1,0
7,5.88343,0,1,0
37,5.76098,0,1,0
18,5.72289,0,1,0
2,5.56085,0,1,0
18,5.41379,0,1,0
4,5.39175,0,1,0
2,5.26263,0,1,0
5,5.2249,0,1,0
5,5.15079,0,1,0
4,5.01212,0,1,0
4,5.01212,0,1,0
5,4.9387,0,1,0
5,4.9387,0,1,0
14,4.78667,0,1,0
2,4.74074,0,1,0
14,4.71053,0,1,0
4,4.70115,0,1,0
4,4.68156,0,1,0
4,4.62358,0,1,0
2,4.58559,0,1,0
99,4.13554,0,1,0
98,4.11448,0,1,0
97,4.02738,0,1,0
4,4.0101,0,1,0
2,4.0101,0,1,0
2,3.97992,0,1,0
4,3.75096,0,1,0
39,3.4469,0,1,0
39,3.38838,0,1,0
3,3.30556,0,1,0
4,3.2685,0,1,0
37,3.24815,0,1,0
37,3.19225,0,1,0
18,3.1603,0,1,0
22,3.10843,0,1,0
7,3.04662,0,1,0
8,3.02434,0,1,0
21,2.94545,0,1,0
4,2.75758,0,1,0
16,2.72372,0,1,0
7,2.54575,0,1,0
14,1.61446,0,1,0
3,1.25591,0,1,0
3,1.23289,0,1,0
3,1.13058,0,1,0
3,1.10884,0,1,0
40,1.07315,0,1,0
38,0.971218,0,1,0
4,0.91358,0,1,0
4,0.900383,0,1,0
5,0.727501,0,1,0
5,0.709873,0,1,0
2,0.457924,0,1,0
3,0.435185,0,1,0
3,0.425287,0,1,0
8,0.331901,0,1,0
3,0.326203,0,1,0
3,0.318214,0,1,0
4,0.287356,0,1,0
5,0.163664,0,1,0
5,0.155638,0,1,0
8,0.0998186,0,1,0
8,0.0935673,0,1,0
8,0.0878161,0,1,0
8,0.0814815,0,1,0
