Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
3,13.6667,0,1,0
2,13.6667,0,1,0
2,13.6667,0,1,0
2,13.6667,0,1,0
2,13.6667,0,1,0
2,13.6667,0,1,0
2,13.6667,0,1,0
2,13.6667,0,1,0
3,13.6667,0,1,0
2,13.6667,0,1,0
2,13.6667,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,8.77778,0,1,0
2,6.33333,0,1,0
2,6.33333,0,1,0
2,6.33333,0,1,0
2,6.33333,0,1,0
