Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,40.3333,0,1,0
2,40.3333,0,1,0
2,40.3333,0,1,0
2,40.3333,0,1,0
2,30,0,1,0
2,30,0,1,0
3,12.95,0,1,0
3,12.2857,0,1,0
3,12.2857,0,1,0
2,12.2857,0,1,0
4,11.4,0,1,0
4,11.4,0,1,0
3,10.625,0,1,0
3,10.625,0,1,0
3,10.625,0,1,0
3,10.625,0,1,0
3,10.625,0,1,0
7,10.625,0,1,0
2,10.625,0,1,0
3,10.625,0,1,0
7,10.625,0,1,0
3,10.16,0,1,0
3,9.94118,0,1,0
7,9.94118,0,1,0
7,9.94118,0,1,0
3,9.94118,0,1,0
3,9.94118,0,1,0
3,9.94118,0,1,0
3,9.94118,0,1,0
10,9.94118,0,1,0
2,9.94118,0,1,0
7,9.94118,0,1,0
4,9.94118,0,1,0
7,9.94118,0,1,0
3,9.94118,0,1,0
3,9.94118,0,1,0
3,9.94118,0,1,0
3,9.94118,0,1,0
10,9.94118,0,1,0
3,9.94118,0,1,0
2,9.62857,0,1,0
3,9.33333,0,1,0
3,9.33333,0,1,0
3,9.33333,0,1,0
3,9.33333,0,1,0
3,9.33333,0,1,0
3,9.33333,0,1,0
6,9.33333,0,1,0
6,9.33333,0,1,0
3,9.33333,0,1,0
10,9.33333,0,1,0
7,9.33333,0,1,0
2,9.33333,0,1,0
2,9.33333,0,1,0
2,9.33333,0,1,0
6,9.33333,0,1,0
3,9.33333,0,1,0
3,9.33333,0,1,0
2,9.33333,0,1,0
3,9.33333,0,1,0
2,9.33333,0,1,0
4,9.33333,0,1,0
10,9.33333,0,1,0
18,8.3,0,1,0
8,8.3,0,1,0
6,8.3,0,1,0
2,8.3,0,1,0
2,8.3,0,1,0
10,8.3,0,1,0
3,8.3,0,1,0
2,8.3,0,1,0
3,8.3,0,1,0
2,8.3,0,1,0
3,8.3,0,1,0
2,8.3,0,1,0
3,8.3,0,1,0
4,8.3,0,1,0
2,8.3,0,1,0
10,8.3,0,1,0
3,8.3,0,1,0
7,8.04167,0,1,0
7,8.04167,0,1,0
3,7.71875,0,1,0
4,7.26667,0,1,0
4,7.26667,0,1,0
3,7.20588,0,1,0
4,6.75,0,1,0
2,6.75,0,1,0
3,6.75,0,1,0
3,6.75,0,1,0
3,6.75,0,1,0
4,6.29412,0,1,0
2,6.29412,0,1,0
7,6.23333,0,1,0
7,6.23333,0,1,0
2,5.88889,0,1,0
2,5.88889,0,1,0
2,5.88889,0,1,0
2,5.88889,0,1,0
2,5.88889,0,1,0
10,5.45833,0,1,0
10,5.45833,0,1,0
10,5.45833,0,1,0
10,5.07843,0,1,0
10,5.07843,0,1,0
10,5.07843,0,1,0
2,0.0941176,0,1,0
