Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,20,0,1,0
2,20,0,1,0
5,11.6,0,1,0
5,11.6,0,1,0
2,11.6,0,1,0
5,11.6,0,1,0
5,11.6,0,1,0
5,11.6,0,1,0
5,11.6,0,1,0
5,11.6,0,1,0
5,11.6,0,1,0
5,11.6,0,1,0
5,11.6,0,1,0
5,11.6,0,1,0
5,11.6,0,1,0
2,11.6,0,1,0
5,11.6,0,1,0
2,11.6,0,1,0
2,11.6,0,1,0
2,11.6,0,1,0
2,11.6,0,1,0
2,11.6,0,1,0
2,11.6,0,1,0
2,11.6,0,1,0
2,11.6,0,1,0
2,11.6,0,1,0
2,9.5,0,1,0
5,9.5,0,1,0
2,9.5,0,1,0
5,9.5,0,1,0
2,7.4,0,1,0
2,7.4,0,1,0
2,7.4,0,1,0
2,7.4,0,1,0
2,7.4,0,1,0
