Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
6,9.5,0,1,0
3,9.5,0,1,0
2,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
3,9.5,0,1,0
2,9.5,0,1,0
3,9.5,0,1,0
6,9.5,0,1,0
2,9.5,0,1,0
2,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
2,9.5,0,1,0
2,9.5,0,1,0
6,9.5,0,1,0
3,9.5,0,1,0
2,9.5,0,1,0
2,9.5,0,1,0
2,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
3,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
6,9.5,0,1,0
3,9.5,0,1,0
6,9.5,0,1,0
2,9.5,0,1,0
2,6,0,1,0
2,6,0,1,0
2,6,0,1,0
2,6,0,1,0
