Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,151.5,0,1,0
5,12.2609,0,1,0
3,12.2609,0,1,0
4,11.2,0,1,0
3,9.51724,0,1,0
2,9.51724,0,1,0
5,9.51724,0,1,0
5,9.16667,0,1,0
2,9.16667,0,1,0
2,9.16667,0,1,0
2,9.16667,0,1,0
2,9.16667,0,1,0
2,9.16667,0,1,0
5,9.16667,0,1,0
3,8.94565,0,1,0
3,8.94565,0,1,0
5,8.83871,0,1,0
2,8.83871,0,1,0
2,8.83871,0,1,0
2,8.83871,0,1,0
2,8.83871,0,1,0
5,8.83871,0,1,0
2,8.83871,0,1,0
5,8.83871,0,1,0
23,8.83871,0,1,0
2,8.83871,0,1,0
5,8.83871,0,1,0
5,8.83871,0,1,0
5,8.83871,0,1,0
29,8.83871,0,1,0
22,8.72464,0,1,0
5,8.53125,0,1,0
5,8.53125,0,1,0
2,8.53125,0,1,0
2,8.53125,0,1,0
2,8.53125,0,1,0
29,8.53125,0,1,0
2,8.53125,0,1,0
2,8.53125,0,1,0
29,8.51075,0,1,0
29,8.51075,0,1,0
29,8.51075,0,1,0
29,8.51075,0,1,0
22,8.41094,0,1,0
22,8.41094,0,1,0
23,8.35333,0,1,0
19,8.34678,0,1,0
22,8.25517,0,1,0
3,8.15,0,1,0
22,8.11685,0,1,0
17,7.93966,0,1,0
22,7.65806,0,1,0
22,7.65806,0,1,0
13,7.61957,0,1,0
2,7.13333,0,1,0
3,6.88793,0,1,0
3,6.625,0,1,0
3,6.625,0,1,0
3,6.37903,0,1,0
2,5.77778,0,1,0
2,5.77778,0,1,0
2,5.77778,0,1,0
2,5.77778,0,1,0
2,5.55914,0,1,0
2,5.55914,0,1,0
5,5.14919,0,1,0
5,5.14919,0,1,0
2,0.186667,0,1,0
2,0.158621,0,1,0
