Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,1e+09,0,1,0
2,1e+09,0,1,0
2,1e+09,0,1,0
2,595,0,1,0
2,595,0,1,0
2,595,0,1,0
2,237.4,0,1,0
2,237.4,0,1,0
2,237.4,0,1,0
2,237.4,0,1,0
2,237.4,0,1,0
2,237.4,0,1,0
2,237.4,0,1,0
2,237.4,0,1,0
2,237.4,0,1,0
2,237.4,0,1,0
2,237.4,0,1,0
8,73.5,0,1,0
7,32.1111,0,1,0
2,32.1111,0,1,0
2,32.1111,0,1,0
4,32.1111,0,1,0
4,32.1111,0,1,0
8,32.1111,0,1,0
3,26.9375,0,1,0
4,15.5556,0,1,0
2,14.0886,0,1,0
2,13.716,0,1,0
2,13.716,0,1,0
2,13.716,0,1,0
2,13.716,0,1,0
2,13.716,0,1,0
2,9.64286,0,1,0
5,9.64286,0,1,0
5,9.64286,0,1,0
2,9.64286,0,1,0
2,9.64286,0,1,0
2,8.77049,0,1,0
4,8.77049,0,1,0
5,8.77049,0,1,0
2,8.77049,0,1,0
8,7.05405,0,1,0
2,7.05405,0,1,0
4,7.05405,0,1,0
5,7.05405,0,1,0
2,7.05405,0,1,0
2,7.05405,0,1,0
5,7.05405,0,1,0
4,7.05405,0,1,0
2,7.05405,0,1,0
4,6.81639,0,1,0
2,6.64103,0,1,0
2,6.64103,0,1,0
2,6.64103,0,1,0
2,6.64103,0,1,0
2,6.64103,0,1,0
8,6.64103,0,1,0
2,6.64103,0,1,0
18,6.64103,0,1,0
7,6.64103,0,1,0
4,6.64103,0,1,0
2,6.5443,0,1,0
56,6.5443,0,1,0
2,6.5443,0,1,0
74,6.5443,0,1,0
8,6.5443,0,1,0
2,6.5443,0,1,0
18,6.5443,0,1,0
2,6.5443,0,1,0
2,6.5443,0,1,0
2,6.5443,0,1,0
8,6.5443,0,1,0
8,6.5443,0,1,0
2,6.5443,0,1,0
2,6.5443,0,1,0
8,6.5443,0,1,0
2,6.5443,0,1,0
4,6.5443,0,1,0
5,6.5443,0,1,0
2,6.5443,0,1,0
5,6.5443,0,1,0
4,6.5443,0,1,0
2,6.5443,0,1,0
7,6.5443,0,1,0
4,6.5443,0,1,0
7,6.5443,0,1,0
2,6.5443,0,1,0
4,6.5443,0,1,0
4,6.5443,0,1,0
73,6.53777,0,1,0
55,6.50458,0,1,0
2,6.45,0,1,0
8,6.45,0,1,0
2,6.45,0,1,0
5,6.45,0,1,0
4,6.45,0,1,0
4,6.45,0,1,0
8,6.45,0,1,0
2,6.45,0,1,0
2,6.45,0,1,0
2,6.45,0,1,0
8,6.45,0,1,0
7,6.45,0,1,0
2,6.45,0,1,0
2,6.35802,0,1,0
5,6.35803,0,1,0
2,6.35802,0,1,0
2,6.35802,0,1,0
2,6.35802,0,1,0
2,6.35802,0,1,0
4,6.35802,0,1,0
2,6.35802,0,1,0
8,6.35802,0,1,0
5,6.35803,0,1,0
2,6.35802,0,1,0
2,6.35802,0,1,0
7,6.35802,0,1,0
2,6.35802,0,1,0
5,6.35803,0,1,0
2,6.35802,0,1,0
7,6.35802,0,1,0
8,6.35802,0,1,0
7,6.35802,0,1,0
2,6.35802,0,1,0
4,6.35802,0,1,0
8,6.35802,0,1,0
5,6.35803,0,1,0
4,6.35802,0,1,0
2,6.35802,0,1,0
78,6.35803,0,1,0
4,6.35802,0,1,0
2,6.35802,0,1,0
2,6.35802,0,1,0
78,6.3557,0,1,0
3,6.32787,0,1,0
55,6.31696,0,1,0
4,5.03544,0,1,0
4,5.03544,0,1,0
4,4.88642,0,1,0
61,4.68151,0,1,0
3,4.65823,0,1,0
3,4.65823,0,1,0
61,4.61049,0,1,0
56,4.56824,0,1,0
56,4.56824,0,1,0
60,4.51852,0,1,0
3,4.51852,0,1,0
2,3.96667,0,1,0
2,3.25714,0,1,0
10,3.13889,0,1,0
2,3.02703,0,1,0
2,2.9082,0,1,0
8,2.35302,0,1,0
2,2.05641,0,1,0
2,2.01772,0,1,0
2,1.01351,0,1,0
4,0.78979,0,1,0
18,0.676512,0,1,0
18,0.655556,0,1,0
8,0.204538,0,1,0
10,0.0056723,0,1,0
10,0.0056723,0,1,0
