Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,1e+09,2.98e+11,1,0
2,1e+09,2.98e+11,1,0
2,1e+09,2.98e+11,1,0
2,1e+09,2.98e+11,1,0
2,1e+09,2.98e+11,1,0
2,1e+09,2.98e+11,1,0
2,1e+09,2.98e+11,1,0
8,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
8,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
8,1e+09,1e+09,1,0
8,1e+09,1e+09,1,0
18,1e+09,1e+09,1,0
8,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
61,1e+09,1e+09,1,0
7,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
7,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
74,1e+09,1e+09,1,0
81,1e+09,1e+09,1,0
56,1e+09,1e+09,1,0
78,1e+09,1e+09,1,0
79,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
81,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
80,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
79,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
