Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,149.333,0,1,0
2,149.333,0,1,0
2,149.333,0,1,0
2,149.333,0,1,0
3,149.333,0,1,0
3,149.333,0,1,0
3,149.333,0,1,0
3,149.333,0,1,0
2,99.2222,0,1,0
2,99.2222,0,1,0
2,89.2,0,1,0
2,89.2,0,1,0
2,89.2,0,1,0
2,89.2,0,1,0
2,89.2,0,1,0
2,89.2,0,1,0
2,89.2,0,1,0
2,59.1333,0,1,0
2,59.1333,0,1,0
2,55.375,0,1,0
2,29.0667,0,1,0
2,22.1282,0,1,0
2,21.55,0,1,0
3,16.5714,0,1,0
3,14.5517,0,1,0
3,14.5517,0,1,0
2,12.8769,0,1,0
2,12.8769,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
3,11.8857,0,1,0
2,11.8857,0,1,0
3,11.8857,0,1,0
2,11.8857,0,1,0
3,10.275,0,1,0
2,10.275,0,1,0
3,10.275,0,1,0
2,10.275,0,1,0
3,10.275,0,1,0
3,10.275,0,1,0
2,10.275,0,1,0
2,10.275,0,1,0
3,10.275,0,1,0
3,10.275,0,1,0
3,10.275,0,1,0
3,10.275,0,1,0
3,10.275,0,1,0
3,10.275,0,1,0
5,10.275,0,1,0
3,10.275,0,1,0
3,10.275,0,1,0
2,10.275,0,1,0
2,10.275,0,1,0
3,10.275,0,1,0
2,10.275,0,1,0
2,10.275,0,1,0
2,10.275,0,1,0
3,10.275,0,1,0
3,10.275,0,1,0
2,10.275,0,1,0
3,10.275,0,1,0
2,10.275,0,1,0
2,10.275,0,1,0
3,10.275,0,1,0
28,9.88621,0,1,0
2,9.36782,0,1,0
2,9.36782,0,1,0
27,8.94041,0,1,0
3,8.66429,0,1,0
3,8.59575,0,1,0
3,8.59575,0,1,0
35,8.59575,0,1,0
3,8.59575,0,1,0
3,8.59575,0,1,0
27,7.93397,0,1,0
13,7.91033,0,1,0
27,7.69786,0,1,0
27,7.69786,0,1,0
27,7.69786,0,1,0
2,7.67308,0,1,0
3,7.67308,0,1,0
3,7.67308,0,1,0
3,7.67308,0,1,0
2,7.67308,0,1,0
3,7.67308,0,1,0
7,7.67308,0,1,0
35,7.67308,0,1,0
2,7.67308,0,1,0
5,7.67308,0,1,0
3,7.67308,0,1,0
3,7.67308,0,1,0
2,7.67308,0,1,0
3,7.67308,0,1,0
3,7.67308,0,1,0
3,7.67308,0,1,0
40,7.67308,0,1,0
47,7.67308,0,1,0
3,7.67308,0,1,0
3,7.67308,0,1,0
3,7.67308,0,1,0
3,7.67308,0,1,0
3,7.67308,0,1,0
