Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
3,1e+09,1e+09,1,0
44,1e+09,1e+09,1,0
21,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
51,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
16,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
52,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
16,1e+09,1e+09,1,0
32,1e+09,1e+09,1,0
52,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
17,1e+09,1e+09,1,0
55,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
48,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
56,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
49,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
