Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,1017,0,1,0
2,1017,0,1,0
2,1017,0,1,0
2,1017,0,1,0
2,1017,0,1,0
2,1017,0,1,0
2,1017,0,1,0
2,1017,0,1,0
2,1017,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
2,677.667,0,1,0
3,338.333,0,1,0
2,253.5,0,1,0
2,168.667,0,1,0
2,168.667,0,1,0
2,144.429,0,1,0
2,144.429,0,1,0
2,144.429,0,1,0
2,144.429,0,1,0
2,126.25,0,1,0
3,126.25,0,1,0
3,126.25,0,1,0
3,126.25,0,1,0
2,112.111,0,1,0
2,112.111,0,1,0
3,108.071,0,1,0
2,83.8333,0,1,0
2,62.625,0,1,0
2,57.1714,0,1,0
12,41.4167,0,1,0
3,41.4167,0,1,0
16,41.4167,0,1,0
7,41.4167,0,1,0
16,39.72,0,1,0
12,39.72,0,1,0
2,36.7037,0,1,0
3,35.3571,0,1,0
2,35.3571,0,1,0
4,32.9333,0,1,0
3,32.9333,0,1,0
2,32.9333,0,1,0
4,32.9333,0,1,0
2,28.0857,0,1,0
2,27.6761,0,1,0
2,27.6761,0,1,0
2,27.6761,0,1,0
2,27.2778,0,1,0
2,27.2778,0,1,0
2,27.2778,0,1,0
12,27.2778,0,1,0
2,27.2778,0,1,0
2,27.2778,0,1,0
12,27.2778,0,1,0
12,27.2778,0,1,0
2,27.2778,0,1,0
2,27.2778,0,1,0
3,26.2679,0,1,0
12,26.1467,0,1,0
5,24.45,0,1,0
2,23.2381,0,1,0
2,23.2381,0,1,0
2,23.2381,0,1,0
2,23.2381,0,1,0
2,23.2381,0,1,0
2,23.2381,0,1,0
2,23.2381,0,1,0
2,21.1304,0,1,0
4,20.2083,0,1,0
4,20.2083,0,1,0
2,20.2083,0,1,0
4,20.2083,0,1,0
4,18.3905,0,1,0
35,17.442,0,1,0
