Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
8,1e+09,1e+09,1,0
6,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
18,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
520,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
15,1e+09,1e+09,1,0
15,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
13,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
7,1e+09,1e+09,1,0
10,1e+09,1e+09,1,0
15,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
15,1e+09,1e+09,1,0
33,1e+09,1e+09,1,0
15,1e+09,1e+09,1,0
9,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
13,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
15,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
15,1e+09,1e+09,1,0
24,1e+09,1e+09,1,0
28,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
7,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
7,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
7,1e+09,1e+09,1,0
92,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
21,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
6,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
3,1e+09,1e+09,1,0
6,1e+09,1e+09,1,0
6,1e+09,1e+09,1,0
6,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
25,1e+09,1e+09,1,0
26,1e+09,1e+09,1,0
6,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
91,1e+09,1e+09,1,0
4,1e+09,1e+09,1,0
5,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
2,1e+09,1e+09,1,0
14,1e+09,1e+09,1,0
