Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
3,118,0,1,0
3,118,0,1,0
2,12.7308,0,1,0
3,12.7308,0,1,0
2,12.2222,0,1,0
4,12.2222,0,1,0
3,12.2222,0,1,0
2,11.75,0,1,0
2,9.81818,0,1,0
3,9.81818,0,1,0
3,9.81818,0,1,0
3,9.81818,0,1,0
4,9.81818,0,1,0
3,9.81818,0,1,0
3,9.81818,0,1,0
3,9.81818,0,1,0
4,9.81818,0,1,0
3,9.81818,0,1,0
3,9.81818,0,1,0
3,9.5,0,1,0
3,9.5,0,1,0
3,9.5,0,1,0
3,9.5,0,1,0
3,9.5,0,1,0
3,9.5,0,1,0
3,9.5,0,1,0
3,9.5,0,1,0
2,9.5,0,1,0
3,9.5,0,1,0
3,9.5,0,1,0
3,9.5,0,1,0
2,9.5,0,1,0
6,9.5,0,1,0
2,9.5,0,1,0
2,9.5,0,1,0
3,9.5,0,1,0
2,9.5,0,1,0
2,9.5,0,1,0
2,9.5,0,1,0
2,9.5,0,1,0
3,9.5,0,1,0
2,9.5,0,1,0
3,9.5,0,1,0
3,9.5,0,1,0
2,9.5,0,1,0
3,9.5,0,1,0
3,9.5,0,1,0
3,9.29808,0,1,0
26,9.11111,0,1,0
7,8.1875,0,1,0
2,7.30232,0,1,0
6,7.30233,0,1,0
3,7.30233,0,1,0
3,7.30233,0,1,0
7,7.30233,0,1,0
3,7.30233,0,1,0
3,7.30233,0,1,0
26,7.30233,0,1,0
3,7.30233,0,1,0
2,7.30232,0,1,0
3,7.30233,0,1,0
3,7.30233,0,1,0
2,7.30232,0,1,0
3,7.30233,0,1,0
2,7.30232,0,1,0
2,7.30232,0,1,0
7,7.30233,0,1,0
3,7.30233,0,1,0
2,7.30232,0,1,0
4,7.30232,0,1,0
34,7.30233,0,1,0
4,7.30232,0,1,0
3,7.30233,0,1,0
3,7.30233,0,1,0
2,7.30232,0,1,0
3,7.30233,0,1,0
3,7.30233,0,1,0
3,7.30233,0,1,0
26,7.27273,0,1,0
26,7.27273,0,1,0
26,7.27273,0,1,0
26,7.27273,0,1,0
26,7.27273,0,1,0
6,7.11364,0,1,0
3,6.875,0,1,0
3,6.875,0,1,0
3,6.875,0,1,0
34,6.76087,0,1,0
26,6.76087,0,1,0
2,6.76087,0,1,0
3,6.76087,0,1,0
8,6.76087,0,1,0
3,6.76087,0,1,0
4,6.76087,0,1,0
2,6.76087,0,1,0
3,6.76087,0,1,0
3,6.76087,0,1,0
34,6.76087,0,1,0
3,6.76087,0,1,0
3,6.76087,0,1,0
8,6.76087,0,1,0
3,6.76087,0,1,0
9,6.76087,0,1,0
3,6.76087,0,1,0
9,6.76087,0,1,0
34,6.76087,0,1,0
8,6.76087,0,1,0
3,6.76087,0,1,0
3,6.76087,0,1,0
3,6.76087,0,1,0
43,6.76087,0,1,0
33,6.76087,0,1,0
26,6.76087,0,1,0
7,6.76087,0,1,0
34,6.76087,0,1,0
5,6.72727,0,1,0
5,6.72727,0,1,0
34,6.59574,0,1,0
7,6.59574,0,1,0
46,6.59574,0,1,0
2,6.59574,0,1,0
2,6.59574,0,1,0
27,6.59574,0,1,0
26,6.59574,0,1,0
3,6.59574,0,1,0
2,6.59574,0,1,0
3,6.59574,0,1,0
3,6.59574,0,1,0
7,6.59574,0,1,0
3,6.59574,0,1,0
3,6.59574,0,1,0
43,6.59574,0,1,0
6,6.59574,0,1,0
8,6.59574,0,1,0
33,6.59574,0,1,0
6,6.59574,0,1,0
4,6.59574,0,1,0
8,6.59574,0,1,0
2,6.21212,0,1,0
2,6.21212,0,1,0
2,6.21212,0,1,0
27,5.79281,0,1,0
27,5.79281,0,1,0
27,5.79281,0,1,0
6,5.65217,0,1,0
6,5.65217,0,1,0
4,5.2087,0,1,0
4,5.2087,0,1,0
5,4.83333,0,1,0
5,4.83333,0,1,0
5,4.83333,0,1,0
6,4.53488,0,1,0
6,4.53488,0,1,0
2,4.25,0,1,0
2,4.25,0,1,0
4,4.25,0,1,0
4,4.25,0,1,0
2,4.25,0,1,0
2,4.25,0,1,0
4,4.25,0,1,0
4,4.25,0,1,0
4,4.25,0,1,0
2,4.25,0,1,0
2,4.25,0,1,0
4,4.17391,0,1,0
4,4.17391,0,1,0
3,3.63636,0,1,0
2,3.2,0,1,0
2,3.2,0,1,0
2,3.2,0,1,0
4,3.15116,0,1,0
4,3.15116,0,1,0
2,3.15116,0,1,0
2,3.15116,0,1,0
2,3.15116,0,1,0
4,3.15116,0,1,0
2,3.15116,0,1,0
2,3.15116,0,1,0
2,2.32093,0,1,0
2,2.32093,0,1,0
2,2.32093,0,1,0
3,2.11337,0,1,0
3,2.11337,0,1,0
3,1.76744,0,1,0
2,1.76744,0,1,0
3,1.76744,0,1,0
2,1.58696,0,1,0
2,1.58696,0,1,0
2,1.58696,0,1,0
4,0.00634251,0,1,0
4,0.00634251,0,1,0
