Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,233.5,0,1,0
2,233.5,0,1,0
2,233.5,0,1,0
2,233.5,0,1,0
2,57.625,0,1,0
2,32.5,0,1,0
2,32.5,0,1,0
2,32.5,0,1,0
3,32.5,0,1,0
6,32.5,0,1,0
2,14.6333,0,1,0
3,7.68519,0,1,0
3,7.08621,0,1,0
2,7.08621,0,1,0
4,7.08621,0,1,0
4,7.08621,0,1,0
3,7.08621,0,1,0
4,7.08621,0,1,0
4,7.08621,0,1,0
3,6.94915,0,1,0
4,6.94915,0,1,0
2,6.94915,0,1,0
4,6.94915,0,1,0
2,6.81667,0,1,0
4,6.81667,0,1,0
4,6.81667,0,1,0
3,6.81667,0,1,0
2,6.81667,0,1,0
2,6.81667,0,1,0
2,6.81667,0,1,0
58,6.81667,0,1,0
54,6.27759,0,1,0
8,6.18774,0,1,0
8,6.18774,0,1,0
8,6.06591,0,1,0
8,5.94815,0,1,0
7,5.75514,0,1,0
4,5.51389,0,1,0
4,5.51389,0,1,0
2,5.51389,0,1,0
2,5.51389,0,1,0
2,5.51389,0,1,0
4,5.51389,0,1,0
3,5.51389,0,1,0
4,5.51389,0,1,0
4,5.51389,0,1,0
6,5.51389,0,1,0
3,5.51389,0,1,0
2,5.51389,0,1,0
4,5.51389,0,1,0
9,5.51389,0,1,0
2,5.51389,0,1,0
14,5.51389,0,1,0
58,5.51389,0,1,0
54,5.51389,0,1,0
2,5.51389,0,1,0
58,5.40348,0,1,0
58,5.40348,0,1,0
58,5.29676,0,1,0
3,5.06465,0,1,0
3,5.06465,0,1,0
3,4.96186,0,1,0
54,4.8625,0,1,0
54,4.8625,0,1,0
3,4.8625,0,1,0
4,0.565741,0,1,0
4,0.460919,0,1,0
