Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,16.3333,0,1,0
3,16.3333,0,1,0
3,16.3333,0,1,0
3,16.3333,0,1,0
3,16.3333,0,1,0
3,16.3333,0,1,0
3,16.3333,0,1,0
2,16.3333,0,1,0
2,16.3333,0,1,0
3,16.3333,0,1,0
2,16.3333,0,1,0
3,16.3333,0,1,0
3,16.3333,0,1,0
3,16.3333,0,1,0
2,10.5556,0,1,0
2,10.5556,0,1,0
2,10.5556,0,1,0
5,9.4,0,1,0
5,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
2,9.4,0,1,0
5,9.4,0,1,0
2,9.4,0,1,0
3,9.4,0,1,0
5,9.4,0,1,0
5,9.4,0,1,0
5,9.4,0,1,0
5,9.4,0,1,0
5,9.4,0,1,0
5,9.4,0,1,0
5,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
3,9.4,0,1,0
2,9.4,0,1,0
5,9.4,0,1,0
3,9.4,0,1,0
